,Country_Region,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,Afghanistan,0.0,33.93911,67.709953,178901,7683,0.0,0.0,459.564922121906,4.29455397119077
1,Albania,0.0,41.1533,20.1683,275211,3496,0.0,0.0,9563.242754882202,1.270298062214083
2,Algeria,0.0,28.0339,1.6596,265782,6875,0.0,0.0,606.1018890702326,2.5867063984769474
3,Andorra,0.0,42.5063,1.5218,41717,153,0.0,0.0,53992.10509286223,0.366756957595225
4,Angola,0.0,-11.2027,17.8739,99287,1900,0.0,0.0,302.0939280358817,1.9136442837430885
5,Antarctica,0.0,-71.9499,23.347,11,0,0.0,0.0,0.0,0.0
6,Antigua and Barbuda,0.0,17.0608,-61.7964,7654,137,0.0,0.0,7815.946409607058,1.789913770577476
7,Argentina,0.0,-38.4161,-63.6167,9083673,128653,0.0,0.0,20098.49946821359,1.416310340541761
8,Armenia,0.0,40.0691,45.0382,422877,8622,0.0,0.0,14270.793329180213,2.038890741279379
9,Australia,0.0,-256.85020000000003,1130.8439,6130822,7423,0.0,0.0,191484.82161688694,0.6754542420044858
10,Austria,0.0,47.5162,14.5501,4161004,18200,0.0,0.0,46200.52407177119,0.4373944365350286
11,Azerbaijan,0.0,40.1431,47.5769,792585,9709,0.0,0.0,7817.056121429998,1.224979024331775
12,Bahamas,0.0,25.025885,-78.035889,33626,798,0.0,0.0,8550.83814793718,2.373163623386665
13,Bahrain,0.0,26.0275,50.55,570103,1476,0.0,0.0,33504.27219830005,0.2589005846311982
14,Bangladesh,0.0,23.685,90.3563,1952743,29127,0.0,0.0,1185.712742636239,1.4915941319467028
15,Barbados,0.0,13.1939,-59.5432,71127,399,0.0,0.0,24750.93172240762,0.5609684086211987
16,Belarus,0.0,53.7098,27.9534,981070,6958,0.0,0.0,10382.439119170573,0.7092256413915419
17,Belgium,0.0,557.8112,50.1136,4071279,31494,0.0,0.0,389034.1760203828,56.19412971719154
18,Belize,0.0,17.1899,-88.4976,57561,676,0.0,0.0,14476.348080207032,1.1744062820312364
19,Benin,0.0,9.3077,2.3158,26952,163,0.0,0.0,222.31757659983776,0.6047788661323835
20,Bhutan,0.0,27.5142,90.4336,59358,21,0.0,0.0,7692.726396168022,0.0353785504902456
21,Bolivia,0.0,-16.2902,-63.5887,905150,21923,0.0,0.0,7754.199873914474,2.4220294978732806
22,Bosnia and Herzegovina,0.0,43.9159,17.6791,377175,15768,0.0,0.0,11496.381234540808,4.180552793795983
23,Botswana,0.0,-22.3285,24.6849,306200,2690,0.0,0.0,13020.783500770744,0.8785107772697583
24,Brazil,0.0,-342.0771,-1308.9732999999999,30502501,663994,0.0,0.0,441492.4501819867,53.04537183409609
25,Brunei,0.0,4.5353,114.7277,142166,218,0.0,0.0,32496.34842953897,0.1533418679571768
26,Bulgaria,0.0,42.7339,25.4858,1158354,36953,0.0,0.0,16670.693946631225,3.1901301329300025
27,Burkina Faso,0.0,12.2383,-1.5616,20865,383,0.0,0.0,99.81688039550544,1.8356098729930503
28,Burma,0.0,21.9162,95.956,612951,19434,0.0,0.0,1126.5453421860043,3.1705633892431857
